"Text" "Text_ID" "TMThermostemsearchedterm" "Lemma" "Lemma_Perc" "KWIC" "Total_Lemma" "Date" "Category" "Short_KWIC" "POS_KWIC" "Current_Date" "TMThermostemsearchedtermID" "Chapter" "Setting"
"1" "Wells_1895_The-Time-Machine_01" "1" "coal" "923" "54.4864226682409" "they could represent one of fourif they could master the perspective of the thing see i think so murmured the provincial mayor and knitting his brows he lapsed into an introspective state his lips moving as one who repeats mystic words yes i think i see it now he said after some time brightening in a quite transitory manner well i do not mind telling you i have been at work upon this geometry of four dimensions for some time some of my results are curious for instance here is a portrait of a man at eight years old another at fifteen another at seventeen another at twenty three and so on all these are evidently sections as it were three dimensional representations of his four dimensioned being which is a fixed and unalterable thing scientific people proceeded the time traveller after the pause required for the proper assimilation of this know very well that time is only a kind of space here is a popular scientific diagram a weather record this line i trace with my finger shows the movement of the barometer yesterday it was so high yesterday night it fell then this morning it rose again and so gently upward to here surely the mercury did not trace this line in any of the dimensions of space generally recognised but certainly it traced such a line and that line therefore we must conclude was along the time dimension but said the medical man staring hard at a coal in the fire if time is really only a fourth dimension of space why is it and why has it always been regarded as something different and why cannot we move in time as we move about in the other dimensions of space the time traveller smiled are you so sure we can move freely in space right and left we can go backward and forward freely enough and men always have done so i admit we move freely in two dimensions but how about up and down gravitation limits us there not exactly said the medical man there are balloons but before the balloons save for spasmodic jumping and the inequalities of the surface man had no freedom of vertical movement still they could move a little up and down said the medical man easier far easier down than up and you cannot move at all in time you cannot get away from the present moment my dear sir that is just where you are wrong that is just where the whole world has gone wrong we are always getting away from the present moment our mental existences which are immaterial and have no dimensions are passing along the time dimension with a uniform velocity from the cradle to the grave just as we should travel _down_ if we began our existence fifty miles above the earths surface but the great difficulty is this interrupted the psychologist you _can_ move about in all directions of space but you cannot" "1694" "1895" "Heat-Rhetoric" "hard at a coal in the fire" "dimension but said the medical man staring hard at a coal in the fire if time is really only a fourth" "2018-01-22" "6" "01" "1895"
"2" "Wells_1895_The-Time-Machine_01" "1" "fire" "40" "2.36127508854782" "i introduction the time traveller for so it will be convenient to speak of him was expounding a recondite matter to us his pale grey eyes shone and twinkled and his usually pale face was flushed and animated the fire burnt brightly and the soft radiance of the incandescent lights in the lilies of silver caught the bubbles that flashed and passed in our glasses our chairs being his patents embraced and caressed us rather than submitted to be sat upon and there was that luxurious after dinner atmosphere when thought runs gracefully free of the trammels of precision and he put it to us in this waymarking the points with a lean forefingeras we sat and lazily admired his earnestness over this new paradox as we thought it and his fecundity you must follow me carefully i shall have to controvert one or two ideas that are almost universally accepted the geometry for instance they taught you at school is founded on a misconception is not that rather a large thing to expect us to begin upon said filby an argumentative person with red hair i do not mean to ask you to accept anything without reasonable ground for it you will soon admit as much as i need from you you know of course that a mathematical line a line of thickness _nil_ has no real existence they taught you that neither has a mathematical plane these things are mere abstractions that is all right said the psychologist nor having only length breadth and thickness can a cube have a real existence there i object said filby of course a solid body may exist all real things so most people think but wait a moment can an _instantaneous_" "1694" "1895" "Heat-Rhetoric" "and animated the fire burnt brightly and" "and his usually pale face was flushed and animated the fire burnt brightly and the soft radiance of the incandescent lights" "2018-01-22" "10" "01" "1895"
"3" "Wells_1895_The-Time-Machine_01" "1" "fire" "926" "54.6635182998819" "one of fourif they could master the perspective of the thing see i think so murmured the provincial mayor and knitting his brows he lapsed into an introspective state his lips moving as one who repeats mystic words yes i think i see it now he said after some time brightening in a quite transitory manner well i do not mind telling you i have been at work upon this geometry of four dimensions for some time some of my results are curious for instance here is a portrait of a man at eight years old another at fifteen another at seventeen another at twenty three and so on all these are evidently sections as it were three dimensional representations of his four dimensioned being which is a fixed and unalterable thing scientific people proceeded the time traveller after the pause required for the proper assimilation of this know very well that time is only a kind of space here is a popular scientific diagram a weather record this line i trace with my finger shows the movement of the barometer yesterday it was so high yesterday night it fell then this morning it rose again and so gently upward to here surely the mercury did not trace this line in any of the dimensions of space generally recognised but certainly it traced such a line and that line therefore we must conclude was along the time dimension but said the medical man staring hard at a coal in the fire if time is really only a fourth dimension of space why is it and why has it always been regarded as something different and why cannot we move in time as we move about in the other dimensions of space the time traveller smiled are you so sure we can move freely in space right and left we can go backward and forward freely enough and men always have done so i admit we move freely in two dimensions but how about up and down gravitation limits us there not exactly said the medical man there are balloons but before the balloons save for spasmodic jumping and the inequalities of the surface man had no freedom of vertical movement still they could move a little up and down said the medical man easier far easier down than up and you cannot move at all in time you cannot get away from the present moment my dear sir that is just where you are wrong that is just where the whole world has gone wrong we are always getting away from the present moment our mental existences which are immaterial and have no dimensions are passing along the time dimension with a uniform velocity from the cradle to the grave just as we should travel _down_ if we began our existence fifty miles above the earths surface but the great difficulty is this interrupted the psychologist you _can_ move about in all directions of space but you cannot move about in" "1694" "1895" "Heat-Rhetoric" "coal in the fire if time is" "the medical man staring hard at a coal in the fire if time is really only a fourth dimension of space" "2018-01-22" "10" "01" "1895"
"4" "Wells_1895_The-Time-Machine_01" "1" "light" "50" "2.95159386068477" "i introduction the time traveller for so it will be convenient to speak of him was expounding a recondite matter to us his pale grey eyes shone and twinkled and his usually pale face was flushed and animated the fire burnt brightly and the soft radiance of the incandescent lights in the lilies of silver caught the bubbles that flashed and passed in our glasses our chairs being his patents embraced and caressed us rather than submitted to be sat upon and there was that luxurious after dinner atmosphere when thought runs gracefully free of the trammels of precision and he put it to us in this waymarking the points with a lean forefingeras we sat and lazily admired his earnestness over this new paradox as we thought it and his fecundity you must follow me carefully i shall have to controvert one or two ideas that are almost universally accepted the geometry for instance they taught you at school is founded on a misconception is not that rather a large thing to expect us to begin upon said filby an argumentative person with red hair i do not mean to ask you to accept anything without reasonable ground for it you will soon admit as much as i need from you you know of course that a mathematical line a line of thickness _nil_ has no real existence they taught you that neither has a mathematical plane these things are mere abstractions that is all right said the psychologist nor having only length breadth and thickness can a cube have a real existence there i object said filby of course a solid body may exist all real things so most people think but wait a moment can an _instantaneous_ cube exist dont follow you said filby can a cube" "1694" "1895" "Light-Rhetoric" "of the incandescent lights in the lilies" "fire burnt brightly and the soft radiance of the incandescent lights in the lilies of silver caught the bubbles that flashed" "2018-01-22" "27" "01" "1895"
"5" "Wells_1895_The-Time-Machine_01" "1" "night" "863" "50.9445100354191" "and have even tried to construct a four dimension geometry professor simon newcomb was expounding this to the new york mathematical society only a month or so ago you know how on a flat surface which has only two dimensions we can represent a figure of a three dimensional solid and similarly they think that by models of three dimensions they could represent one of fourif they could master the perspective of the thing see i think so murmured the provincial mayor and knitting his brows he lapsed into an introspective state his lips moving as one who repeats mystic words yes i think i see it now he said after some time brightening in a quite transitory manner well i do not mind telling you i have been at work upon this geometry of four dimensions for some time some of my results are curious for instance here is a portrait of a man at eight years old another at fifteen another at seventeen another at twenty three and so on all these are evidently sections as it were three dimensional representations of his four dimensioned being which is a fixed and unalterable thing scientific people proceeded the time traveller after the pause required for the proper assimilation of this know very well that time is only a kind of space here is a popular scientific diagram a weather record this line i trace with my finger shows the movement of the barometer yesterday it was so high yesterday night it fell then this morning it rose again and so gently upward to here surely the mercury did not trace this line in any of the dimensions of space generally recognised but certainly it traced such a line and that line therefore we must conclude was along the time dimension but said the medical man staring hard at a coal in the fire if time is really only a fourth dimension of space why is it and why has it always been regarded as something different and why cannot we move in time as we move about in the other dimensions of space the time traveller smiled are you so sure we can move freely in space right and left we can go backward and forward freely enough and men always have done so i admit we move freely in two dimensions but how about up and down gravitation limits us there not exactly said the medical man there are balloons but before the balloons save for spasmodic jumping and the inequalities of the surface man had no freedom of vertical movement still they could move a little up and down said the medical man easier far easier down than up and you cannot move at all in time you cannot get away from the present moment my dear sir that is just where you are wrong that is just where the whole world has gone wrong we are always getting away from the present moment our mental existences which" "1694" "1895" "Dark-Rhetoric" "so high yesterday night it fell then" "movement of the barometer yesterday it was so high yesterday night it fell then this morning it rose again and so" "2018-01-22" "50" "01" "1895"
"6" "Wells_1895_The-Time-Machine_02" "2" "candl" "129" "9.62686567164179" "ii the machine the thing the time traveller held in his hand was a glittering metallic framework scarcely larger than a small clock and very delicately made there was ivory in it and some transparent crystalline substance and now i must be explicit for this that followsunless his explanation is to be acceptedis an absolutely unaccountable thing he took one of the small octagonal tables that were scattered about the room and set it in front of the fire with two legs on the hearthrug on this table he placed the mechanism then he drew up a chair and sat down the only other object on the table was a small shaded lamp the bright light of which fell upon the model there were also perhaps a dozen candles about two in brass candlesticks upon the mantel and several in sconces so that the room was brilliantly illuminated i sat in a low arm chair nearest the fire and i drew this forward so as to be almost between the time traveller and the fireplace filby sat behind him looking over his shoulder the medical man and the provincial mayor watched him in profile from the right the psychologist from the left the very young man stood behind the psychologist we were all on the alert it appears incredible to me that any kind of trick however subtly conceived and however adroitly done could have been played upon us under these conditions the time traveller looked at us and then at the mechanism well said the psychologist this little affair said the time traveller resting his elbows upon the table and pressing his hands together above the apparatus is only a model it is my plan for a machine to travel through time you will notice that it looks singularly askew and that there is an odd twinkling appearance about this bar as though it was in some way unreal he pointed to the part with his finger also here is one little white lever and here is another the medical man got up out of his chair and peered into the thing its beautifully made he said it took two years to make retorted the time traveller then when we had all imitated the action of the medical" "1340" "1895" "Heat-Rhetoric" "perhaps a dozen candles about two in" "fell upon the model there were also perhaps a dozen candles about two in brass candlesticks upon the mantel and several" "2018-01-22" "4" "02" "1895"
"7" "Wells_1895_The-Time-Machine_02" "2" "candl" "578" "43.134328358209" "finger also here is one little white lever and here is another the medical man got up out of his chair and peered into the thing its beautifully made he said it took two years to make retorted the time traveller then when we had all imitated the action of the medical man he said now i want you clearly to understand that this lever being pressed over sends the machine gliding into the future and this other reverses the motion this saddle represents the seat of a time traveller presently i am going to press the lever and off the machine will go it will vanish pass into future time and disappear have a good look at the thing look at the table too and satisfy yourselves there is no trickery i dont want to waste this model and then be told im a quack there was a minutes pause perhaps the psychologist seemed about to speak to me but changed his mind then the time traveller put forth his finger towards the lever no he said suddenly lend me your hand and turning to the psychologist he took that individuals hand in his own and told him to put out his forefinger so that it was the psychologist himself who sent forth the model time machine on its interminable voyage we all saw the lever turn i am absolutely certain there was no trickery there was a breath of wind and the lamp flame jumped one of the candles on the mantel was blown out and the little machine suddenly swung round became indistinct was seen as a ghost for a second perhaps as an eddy of faintly glittering brass and ivory and it was gonevanished save for the lamp the table was bare everyone was silent for a minute then filby said he was damned the psychologist recovered from his stupor and suddenly looked under the table at that the time traveller laughed cheerfully well he said with a reminiscence of the psychologist then getting up he went to the tobacco jar on the mantel and with his back to us began to fill his pipe we stared at each other look here said the medical man are you in earnest about this do you seriously believe that that machine has travelled into time certainly said the time traveller stooping to light a spill at the fire then he turned lighting his pipe to look at the psychologists face the psychologist to show that he was not unhinged helped himself to a cigar and tried to light it uncut what is more i have a big machine nearly finished in therehe indicated the laboratoryand when that is put together i mean to have a journey on my own account you mean to say that that machine has travelled into the future said filby into the future or the pasti dont for certain know which after an interval the psychologist had an inspiration it must have gone into the" "1340" "1895" "Heat-Rhetoric" "one of the candles on the mantel" "of wind and the lamp flame jumped one of the candles on the mantel was blown out and the little machine" "2018-01-22" "4" "02" "1895"
"8" "Wells_1895_The-Time-Machine_02" "2" "fire" "79" "5.8955223880597" "ii the machine the thing the time traveller held in his hand was a glittering metallic framework scarcely larger than a small clock and very delicately made there was ivory in it and some transparent crystalline substance and now i must be explicit for this that followsunless his explanation is to be acceptedis an absolutely unaccountable thing he took one of the small octagonal tables that were scattered about the room and set it in front of the fire with two legs on the hearthrug on this table he placed the mechanism then he drew up a chair and sat down the only other object on the table was a small shaded lamp the bright light of which fell upon the model there were also perhaps a dozen candles about two in brass candlesticks upon the mantel and several in sconces so that the room was brilliantly illuminated i sat in a low arm chair nearest the fire and i drew this forward so as to be almost between the time traveller and the fireplace filby sat behind him looking over his shoulder the medical man and the provincial mayor watched him in profile from the right the psychologist from the left the very young man stood behind the psychologist we were all on the alert it appears incredible to me that any kind of trick however subtly conceived and however adroitly done could have been played upon us under these conditions the time traveller looked at us and then at the mechanism well said the psychologist this little affair said the time traveller resting his elbows upon the table and pressing his hands together above the apparatus is only a model it is my plan for a machine to travel through time you will notice that it looks singularly askew and that there is an odd twinkling appearance about this bar as though it was in some way unreal he pointed to the part with his finger also" "1340" "1895" "Heat-Rhetoric" "front of the fire with two legs" "about the room and set it in front of the fire with two legs on the hearthrug on this table he" "2018-01-22" "10" "02" "1895"
"9" "Wells_1895_The-Time-Machine_02" "2" "fire" "158" "11.7910447761194" "ii the machine the thing the time traveller held in his hand was a glittering metallic framework scarcely larger than a small clock and very delicately made there was ivory in it and some transparent crystalline substance and now i must be explicit for this that followsunless his explanation is to be acceptedis an absolutely unaccountable thing he took one of the small octagonal tables that were scattered about the room and set it in front of the fire with two legs on the hearthrug on this table he placed the mechanism then he drew up a chair and sat down the only other object on the table was a small shaded lamp the bright light of which fell upon the model there were also perhaps a dozen candles about two in brass candlesticks upon the mantel and several in sconces so that the room was brilliantly illuminated i sat in a low arm chair nearest the fire and i drew this forward so as to be almost between the time traveller and the fireplace filby sat behind him looking over his shoulder the medical man and the provincial mayor watched him in profile from the right the psychologist from the left the very young man stood behind the psychologist we were all on the alert it appears incredible to me that any kind of trick however subtly conceived and however adroitly done could have been played upon us under these conditions the time traveller looked at us and then at the mechanism well said the psychologist this little affair said the time traveller resting his elbows upon the table and pressing his hands together above the apparatus is only a model it is my plan for a machine to travel through time you will notice that it looks singularly askew and that there is an odd twinkling appearance about this bar as though it was in some way unreal he pointed to the part with his finger also here is one little white lever and here is another the medical man got up out of his chair and peered into the thing its beautifully made he said it took two years to make retorted the time traveller then when we had all imitated the action of the medical man he said now i want you clearly to understand that this lever being pressed over sends the machine gliding into the future and this other reverses the motion" "1340" "1895" "Heat-Rhetoric" "chair nearest the fire and i drew" "illuminated i sat in a low arm chair nearest the fire and i drew this forward so as to be almost" "2018-01-22" "10" "02" "1895"
"10" "Wells_1895_The-Time-Machine_02" "2" "fire" "727" "54.2537313432836" "minutes pause perhaps the psychologist seemed about to speak to me but changed his mind then the time traveller put forth his finger towards the lever no he said suddenly lend me your hand and turning to the psychologist he took that individuals hand in his own and told him to put out his forefinger so that it was the psychologist himself who sent forth the model time machine on its interminable voyage we all saw the lever turn i am absolutely certain there was no trickery there was a breath of wind and the lamp flame jumped one of the candles on the mantel was blown out and the little machine suddenly swung round became indistinct was seen as a ghost for a second perhaps as an eddy of faintly glittering brass and ivory and it was gonevanished save for the lamp the table was bare everyone was silent for a minute then filby said he was damned the psychologist recovered from his stupor and suddenly looked under the table at that the time traveller laughed cheerfully well he said with a reminiscence of the psychologist then getting up he went to the tobacco jar on the mantel and with his back to us began to fill his pipe we stared at each other look here said the medical man are you in earnest about this do you seriously believe that that machine has travelled into time certainly said the time traveller stooping to light a spill at the fire then he turned lighting his pipe to look at the psychologists face the psychologist to show that he was not unhinged helped himself to a cigar and tried to light it uncut what is more i have a big machine nearly finished in therehe indicated the laboratoryand when that is put together i mean to have a journey on my own account you mean to say that that machine has travelled into the future said filby into the future or the pasti dont for certain know which after an interval the psychologist had an inspiration it must have gone into the past if it has gone anywhere he said why said the time traveller because i presume that it has not moved in space and if it travelled into the future it would still be here all this time since it must have travelled through this time but said i if it travelled into the past it would have been visible when we came first into this room and last thursday when we were here and the thursday before that and so forth serious objections remarked the provincial mayor with an air of impartiality turning towards the time traveller not a bit said the time traveller and to the psychologist you think _you_ can explain that its presentation below the threshold you know diluted presentation of course said the psychologist and reassured us thats a simple point of psychology i should have thought of it its plain enough and helps" "1340" "1895" "Heat-Rhetoric" "spill at the fire then he turned" "the time traveller stooping to light a spill at the fire then he turned lighting his pipe to look at the" "2018-01-22" "10" "02" "1895"
